가입일자,사용자코드,연령대코드,성별,가입 수,,
2021-02-10,USR_001,AGE_003,M,75,,
2021-02-10,USR_001,AGE_004,F,42,,
2021-02-10,USR_001,AGE_004,M,61,,
2021-02-10,USR_001,AGE_005,F,20,,
2021-02-10,USR_001,AGE_005,M,32,,
2021-02-10,USR_001,AGE_006,F,5,,
2021-02-10,USR_001,AGE_006,M,11,,
2021-02-10,USR_001,AGE_007,F,1,,
2021-02-10,USR_001,AGE_007,M,5,,
2021-02-10,USR_001,AGE_008,F,21,,
2021-02-10,USR_001,AGE_008,M,22,,
2021-02-11,USR_001,AGE_001,F,145,,
2021-02-11,USR_001,AGE_001,M,158,,
2021-02-11,USR_001,AGE_002,F,304,,
2021-02-11,USR_001,AGE_002,M,296,,
2021-02-11,USR_001,AGE_003,F,151,,
2021-02-11,USR_001,AGE_003,M,147,,
2021-02-11,USR_001,AGE_004,F,144,,
2021-02-11,USR_001,AGE_004,M,132,,
2021-02-11,USR_001,AGE_005,F,65,,
2021-02-11,USR_001,AGE_005,M,90,,
2021-02-11,USR_001,AGE_006,F,12,,
2021-02-11,USR_001,AGE_006,M,30,,
2021-02-11,USR_001,AGE_007,F,2,,
2021-02-11,USR_001,AGE_007,M,7,,
2021-02-11,USR_001,AGE_008,F,18,,
2021-02-11,USR_001,AGE_008,M,22,,
2021-02-12,USR_001,AGE_001,F,202,,
2021-02-12,USR_001,AGE_001,M,197,,
2021-02-12,USR_001,AGE_002,F,468,,
2021-02-12,USR_001,AGE_002,M,401,,
2021-02-12,USR_001,AGE_003,F,204,,
2021-02-12,USR_001,AGE_003,M,271,,
2021-02-12,USR_001,AGE_004,F,238,,
2021-02-12,USR_001,AGE_004,M,250,,
2021-02-12,USR_001,AGE_005,F,174,,
2021-02-12,USR_001,AGE_005,M,145,,
2021-02-12,USR_001,AGE_006,F,40,,
2021-02-12,USR_001,AGE_006,M,57,,
2021-02-12,USR_001,AGE_007,F,3,,
2021-02-12,USR_001,AGE_007,M,16,,
2021-02-12,USR_001,AGE_008,F,14,,
2021-02-12,USR_001,AGE_008,M,29,,
2021-02-13,USR_001,AGE_001,F,269,,
2021-02-13,USR_001,AGE_001,M,244,,
2021-02-13,USR_001,AGE_002,F,664,,
2021-02-13,USR_001,AGE_002,M,560,,
2021-02-13,USR_001,AGE_003,F,284,,
2021-02-13,USR_001,AGE_003,M,335,,
2021-02-13,USR_001,AGE_004,F,285,,
2021-02-13,USR_001,AGE_004,M,270,,
2021-02-13,USR_001,AGE_005,F,149,,
2021-02-13,USR_001,AGE_005,M,155,,
2021-02-13,USR_001,AGE_006,F,45,,
2021-02-13,USR_001,AGE_006,M,39,,
2021-02-13,USR_001,AGE_007,F,6,,
2021-02-13,USR_001,AGE_007,M,6,,
2021-02-13,USR_001,AGE_008,F,24,,
2021-02-13,USR_001,AGE_008,M,31,,
2021-02-14,USR_001,AGE_001,F,180,,
2021-02-14,USR_001,AGE_001,M,191,,
2021-02-14,USR_001,AGE_002,F,404,,
2021-02-14,USR_001,AGE_002,M,448,,
2021-02-14,USR_001,AGE_003,F,184,,
2021-02-14,USR_001,AGE_003,M,202,,
2021-02-14,USR_001,AGE_004,F,159,,
2021-02-14,USR_001,AGE_004,M,189,,
2021-02-14,USR_001,AGE_005,F,84,,
2021-02-14,USR_001,AGE_005,M,106,,
2021-02-14,USR_001,AGE_006,F,13,,
2021-02-14,USR_001,AGE_006,M,48,,
2021-02-14,USR_001,AGE_007,F,2,,
2021-02-14,USR_001,AGE_007,M,3,,
2021-02-14,USR_001,AGE_008,F,21,,
2021-02-14,USR_001,AGE_008,M,36,,
2021-02-15,USR_001,AGE_001,F,76,,
2021-02-15,USR_001,AGE_001,M,65,,
2021-02-15,USR_001,AGE_002,F,114,,
2021-02-15,USR_001,AGE_002,M,123,,
2021-02-15,USR_001,AGE_003,F,38,,
2021-02-15,USR_001,AGE_003,M,70,,
2021-02-15,USR_001,AGE_004,F,39,,
2021-02-15,USR_001,AGE_004,M,48,,
2021-02-15,USR_001,AGE_005,F,20,,
2021-02-15,USR_001,AGE_005,M,23,,
2021-02-15,USR_001,AGE_006,F,3,,
2021-02-15,USR_001,AGE_006,M,6,,
2021-02-15,USR_001,AGE_007,F,2,,
2021-02-15,USR_001,AGE_007,M,1,,
2021-02-15,USR_001,AGE_008,F,19,,
2021-02-15,USR_001,AGE_008,M,27,,
2021-02-16,USR_001,AGE_001,F,33,,
2021-02-16,USR_001,AGE_001,M,31,,
2021-02-16,USR_001,AGE_002,F,49,,
2021-02-16,USR_001,AGE_002,M,56,,
2021-02-16,USR_001,AGE_003,F,27,,
2021-02-16,USR_001,AGE_003,M,33,,
2021-02-16,USR_001,AGE_004,F,25,,
2021-02-16,USR_001,AGE_004,M,22,,
2021-02-16,USR_001,AGE_005,F,17,,
2021-02-16,USR_001,AGE_005,M,18,,
2021-02-16,USR_001,AGE_006,F,3,,
2021-02-16,USR_001,AGE_006,M,7,,
2021-02-16,USR_001,AGE_007,M,2,,
2021-02-16,USR_001,AGE_008,F,15,,
2021-02-16,USR_001,AGE_008,M,24,,
2021-02-17,USR_001,AGE_001,F,26,,
2021-02-17,USR_001,AGE_001,M,32,,
2021-02-17,USR_001,AGE_002,F,43,,
2021-02-17,USR_001,AGE_002,M,39,,
2021-02-17,USR_001,AGE_003,F,23,,
2021-02-17,USR_001,AGE_003,M,25,,
2021-02-17,USR_001,AGE_004,F,27,,
